ban1,ban2,ban3,ban4,ban5,ban6,pick1
Jayce,Poppy,Rumble,Skarner,Vi,Kalista,Ashe
Galio,Nocturne,Varus,Skarner,Ashe,Renata Glasc,Kalista
Skarner,Nocturne,Varus,Viktor,Corki,Rumble,Ashe
Orianna,Poppy,Kalista,Skarner,Rumble,Nocturne,Ashe
Ashe,Kalista,Viktor,Skarner,Rumble,Vi,Varus
Kalista,Vi,Galio,Ashe,Skarner,Nocturne,Rumble
Rumble,Akali,Udyr,Skarner,Kalista,Vi,K'Sante
Nocturne,Vi,Corki,Skarner,Rumble,Kalista,Viktor
Corki,Ashe,Vi,Skarner,Kalista,Viktor,K'Sante
Rumble,Aurora,Kalista,Skarner,Viktor,Corki,K'Sante
Ashe,Zyra,Varus,Skarner,Kalista,Vi,Rumble
Viktor,Leona,Kalista,Skarner,Rumble,Corki,K'Sante
Jayce,Vi,Skarner,K'Sante,Rumble,Ashe,Sejuani
Viego,Hwei,Wukong,Kalista,Skarner,Syndra,Corki
K'Sante,Viego,Skarner,Nocturne,Viktor,Vi,Corki
Nocturne,Yone,K'Sante,Skarner,Kalista,Renata Glasc,Rumble
Nocturne,Zyra,K'Sante,Vi,Rumble,Jayce,Skarner
Ivern,Rumble,Varus,Amumu,Skarner,Corki,Caitlyn
Kalista,Sejuani,Vi,Akali,Aurora,Maokai,Viktor
Vi,Skarner,Corki,Yone,Viktor,Aurora,Maokai
Viktor,Kalista,Varus,Skarner,Zyra,Ashe,Corki
Kalista,Ashe,Aurora,Skarner,Ziggs,Kog'Maw,Corki
K'Sante,Rumble,Poppy,Skarner,Viktor,Nocturne,Aurora
Nocturne,K'Sante,Sejuani,Viktor,Skarner,Kalista,Corki
Ivern,Maokai,Aurora,Skarner,Viktor,Corki,Wukong
Kalista,Gnar,Aurora,Ashe,Ivern,Corki,Skarner
Vi,Kalista,Pyke,Aurora,Viktor,Caitlyn,Corki
Rumble,Maokai,Vi,Skarner,Yone,Corki,Viktor
Aurora,Caitlyn,Ambessa,Ornn,Skarner,Viktor,Varus
Poppy,Varus,Ashe,Viktor,Zyra,Kalista,Skarner
Maokai,Rell,Nocturne,Kalista,Aurora,Viktor,Skarner
Ashe,Varus,Aurora,Kalista,Rumble,Azir,Skarner
Varus,Aurora,Corki,Skarner,Vi,K'Sante,Kalista
Nocturne,Ashe,Yone,Kalista,Skarner,Aurora,Viktor
Poppy,Viktor,Caitlyn,Kalista,Skarner,Aurora,Corki
Vi,Aurora,Varus,Skarner,Caitlyn,Corki,Kalista
Aurora,Nocturne,Viktor,Wukong,Corki,Skarner,Maokai
Viego,K'Sante,Corki,Zyra,Viktor,Skarner,Azir
K'Sante,Poppy,Sejuani,Skarner,Kalista,Viktor,Vi
Poppy,Aurora,Viktor,Skarner,Kalista,Zyra,Varus
K'Sante,Ambessa,Skarner,Kalista,Jayce,Vi,Rumble
Rell,Vi,Corki,Aurora,Nocturne,Ambessa,Varus
Maokai,Vi,Varus,Nocturne,Skarner,Ezreal,Corki
Vi,Maokai,Sejuani,Skarner,Nocturne,Wukong,Corki
Rumble,Kalista,Corki,Aurora,Skarner,K'Sante,Varus
K'Sante,Rumble,Varus,Kalista,Skarner,Ambessa,Corki
K'Sante,Yone,Vi,Corki,Skarner,Neeko,Kalista
Kalista,Sejuani,Varus,Vi,Skarner,K'Sante,Nidalee
Ornn,Maokai,Nocturne,Aurora,Ivern,Viktor,Corki
Zyra,Galio,K'Sante,Skarner,Nocturne,Ashe,Rumble
Yone,Varus,Vi,K'Sante,Skarner,Kalista,Ashe
Kalista,Vi,Aurora,Skarner,Varus,Ashe,Corki
Kalista,Nocturne,K'Sante,Skarner,Vi,Nidalee,Varus
Sejuani,Caitlyn,Aurora,Kalista,K'Sante,Skarner,Vi
Poppy,Pantheon,Skarner,Azir,Ashe,Kalista,Viktor
Zyra,Poppy,Varus,Skarner,Kalista,Nocturne,Rumble
Poppy,Rumble,Xin Zhao,Skarner,Kalista,Jayce,K'Sante
Yone,Varus,K'Sante,Skarner,Kalista,Ashe,Vi
Jayce,Galio,Rumble,Skarner,Vi,Kalista,K'Sante
Rumble,Nocturne,Wukong,Ornn,Maokai,Viktor,Corki
Vi,K'Sante,Maokai,Skarner,Kalista,Nocturne,Viktor
Kalista,Zyra,K'Sante,Jayce,Pantheon,Ezreal,Skarner
Varus,Corki,Poppy,Skarner,Kalista,K'Sante,Vi
Kalista,Vi,Jayce,Skarner,Varus,Nocturne,Viktor
Ornn,Yone,Rell,Varus,Corki,Viktor,Skarner
Nocturne,Ivern,Varus,Skarner,Rumble,Kalista,Viktor
Jayce,Kalista,Varus,Skarner,Viktor,K'Sante,Vi
Rumble,Maokai,Viktor,Kalista,Skarner,Jax,Corki
Ashe,Vi,Maokai,Skarner,Corki,Orianna,Viktor
Poppy,K'Sante,Sejuani,Skarner,Kalista,Vi,Rumble
Rumble,Varus,Zyra,Skarner,Kalista,Ashe,Viktor
Varus,Aurora,Rumble,Skarner,Kalista,Zyra,K'Sante
Ashe,K'Sante,Viktor,Ivern,Skarner,Nocturne,Maokai
Nocturne,Viktor,Varus,Skarner,Ivern,Kalista,Corki
Nocturne,Kalista,Ahri,Skarner,Varus,Corki,Vi
Varus,K'Sante,Aurora,Skarner,Kalista,Zyra,Rumble
